Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),DistrictHeating:HVAC [J](Hourly),DistrictCooling:HVAC [J](Hourly) 
 01/01  01:00:00,6122316.451459692,0.0,6122316.451459691,0.0 
 01/01  02:00:00,5383001.621108975,0.0,5383001.621108975,0.0 
 01/01  03:00:00,5450618.524369155,0.0,5450618.524369155,0.0 
 01/01  04:00:00,5511764.4497186359,0.0,5511764.4497186359,0.0 
 01/01  05:00:00,5604615.114370087,0.0,5604615.114370087,0.0 
 01/01  06:00:00,5709438.683990393,0.0,5709438.683990393,0.0 
 01/01  07:00:00,5250820.588755895,0.0,5250820.588755896,0.0 
 01/01  08:00:00,4808951.424674169,0.0,4808951.424674169,0.0 
 01/01  09:00:00,5264993.899799965,0.0,5264993.899799966,0.0 
 01/01  10:00:00,5085732.301767576,0.0,5085732.301767576,0.0 
 01/01  11:00:00,4614436.442540726,0.0,4614436.442540726,0.0 
 01/01  12:00:00,3621022.412488109,0.0,3621034.7236156549,0.0 
 01/01  13:00:00,3513884.163595088,0.0,3513884.163595088,0.0 
 01/01  14:00:00,3777937.8335927978,0.0,3777937.8335927978,0.0 
 01/01  15:00:00,3751897.4915907105,0.0,3751895.4725824755,0.0 
 01/01  16:00:00,3944927.390259231,0.0,3944927.3902592316,0.0 
 01/01  17:00:00,3727572.9543747536,0.0,3727576.5140588826,0.0 
 01/01  18:00:00,3855960.7285939014,0.0,3855960.728593901,0.0 
 01/01  19:00:00,4336200.885455709,0.0,4336200.885455708,0.0 
 01/01  20:00:00,4300070.781823356,0.0,4300070.781823356,0.0 
 01/01  21:00:00,4960495.241137043,0.0,4960495.241137043,0.0 
 01/01  22:00:00,5124717.502045539,0.0,5124717.50204554,0.0 
 01/01  23:00:00,5828630.735245472,0.0,5828630.73524547,0.0 
 01/01  24:00:00,6090351.17236113,0.0,6090351.172361129,0.0 
 01/02  01:00:00,6656479.062381597,0.0,6656479.062381597,0.0 
 01/02  02:00:00,6200396.49338895,0.0,6200396.49338895,0.0 
 01/02  03:00:00,6339049.504687514,0.0,6339049.504687514,0.0 
 01/02  04:00:00,6510868.120908422,0.0,6510868.120908422,0.0 
 01/02  05:00:00,6630082.58693545,0.0,6630082.586935451,0.0 
 01/02  06:00:00,6717797.8889129669,0.0,6717797.888912966,0.0 
 01/02  07:00:00,6226875.343185444,0.0,6226875.343185444,0.0 
 01/02  08:00:00,5756921.26069125,0.0,5756921.26069125,0.0 
 01/02  09:00:00,6191153.001809539,0.0,6191153.001809538,0.0 
 01/02  10:00:00,5991384.959930448,0.0,5991384.959930448,0.0 
 01/02  11:00:00,5384029.305229127,0.0,5384029.305229128,0.0 
 01/02  12:00:00,4210277.03377296,0.0,4210218.647771646,0.0 
 01/02  13:00:00,3934597.5389951916,0.0,3934597.538995192,0.0 
 01/02  14:00:00,4068477.1512354898,0.0,4068477.1512354898,0.0 
 01/02  15:00:00,3929020.450403297,0.0,3928992.0043121085,0.0 
 01/02  16:00:00,4009862.981538351,0.0,4009862.9815383509,0.0 
 01/02  17:00:00,3772691.34047463,0.0,3772660.9342202965,0.0 
 01/02  18:00:00,3913871.846545385,0.0,3913871.846545385,0.0 
 01/02  19:00:00,4363252.191834933,0.0,4363252.191834934,0.0 
 01/02  20:00:00,4183353.089169912,0.0,4183353.089169912,0.0 
 01/02  21:00:00,4655789.334552089,0.0,4655789.334552089,0.0 
 01/02  22:00:00,4603399.671798704,0.0,4603399.671798704,0.0 
 01/02  23:00:00,5434435.051218595,0.0,5434435.051218595,0.0 
 01/02  24:00:00,6036523.392859186,0.0,6036523.392859186,0.0 
 01/03  01:00:00,6958104.220617499,0.0,6958104.220617499,0.0 
 01/03  02:00:00,8981418.053973997,0.0,8980609.81529215,0.0 
 01/03  03:00:00,8987729.782335448,0.0,8987729.782335446,0.0 
 01/03  04:00:00,9029892.635280386,0.0,9029892.635280386,0.0 
 01/03  05:00:00,9104346.809261794,0.0,9104346.809261794,0.0 
 01/03  06:00:00,9148697.806091799,0.0,9148697.806091799,0.0 
 01/03  07:00:00,8654762.433589248,0.0,8654762.43358925,0.0 
 01/03  08:00:00,7702821.301736395,0.0,7702821.301736394,0.0 
 01/03  09:00:00,4645803.025447899,0.0,4645803.025447899,0.0 
 01/03  10:00:00,4460821.774222191,0.0,4460821.774222191,0.0 
 01/03  11:00:00,6885620.484817022,0.0,6885620.484817022,0.0 
 01/03  12:00:00,6574969.065967456,0.0,6574975.470235933,0.0 
 01/03  13:00:00,6134030.795276479,0.0,6134030.79527648,0.0 
 01/03  14:00:00,6103692.092386207,0.0,6103692.092386207,0.0 
 01/03  15:00:00,5723809.235572282,0.0,5723863.768836606,0.0 
 01/03  16:00:00,5737933.32725702,0.0,5737933.32725702,0.0 
 01/03  17:00:00,5716962.016006803,0.0,5717038.565150465,0.0 
 01/03  18:00:00,6192516.148936649,0.0,6192516.148936649,0.0 
